鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
員林鎮,土地,中東段631~660地號,78.69,,山坡地保育區,丙種建築用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,5083,,0.0,0
大村鄉,土地,慶安段1471~1500地號,58.97,,特定農業區,甲種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,687000,11650,,0.0,0
大村鄉,土地,慶安段1471~1500地號,119.73,,特定農業區,甲種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1397000,11668,,0.0,0
田中鎮,土地,復興段91~120地號,174.0,住,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4234675,24337,,0.0,0
田尾鄉,土地,和平段271~300地號,1525.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7250000,4754,,0.0,0
北斗鎮,土地,大新段991~1020地號,109.49,,鄉村區,乙種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1180000,10777,,0.0,0
北斗鎮,房地(土地+建物),彰化縣北斗鎮中寮里光前路31~60號,143.35,,特定農業區,甲種建築用地,10304,土地3建物1車位0,全,003,透天厝,住宅,鋼筋混凝土造,1020719,182.03,5,3,4,有,無,6500000,35708,,0.0,0
北斗鎮,土地,螺青段811~840地號,502.0,住,,,10304,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19741800,39326,,0.0,0
北斗鎮,土地,東螺段451~480地號,4547.14,,特定農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7922000,1742,,0.0,0
田尾鄉,土地,田豐段1081~1110地號,142.4,,鄉村區,乙種建築用地,10303,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2940000,20646,,0.0,0
田尾鄉,建物,彰化縣田尾鄉光復路三段655巷31~60號,0.0,,,,10303,土地0建物1車位0,全,003,透天厝,住宅,鋼筋混凝土造,1021029,135.19,3,2,2,有,無,1960000,14498,,0.0,0
溪州鄉,房地(土地+建物),彰化縣溪州鄉莊邊巷1~30號,128.0,,鄉村區,乙種建築用地,10304,土地2建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0850622,146.04,4,1,2,有,無,2200000,15064,,0.0,0
大城鄉,土地,永光段721~750地號,26.2,,一般農業區,農牧用地,10302,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17551,670,,0.0,0
大城鄉,土地,永光段721~750地號,126.22,,一般農業區,農牧用地,10303,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,84566,670,,0.0,0
芳苑鄉,土地,草湖段241~270地號,351.73,,鄉村區,乙種建築用地,10304,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,4549,,0.0,0
二林鎮,房地(土地+建物),彰化縣二林鎮溝頭巷1弄1~30號,90.0,,特定農業區,特定目的事業用地,10303,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0711210,83.86,2,2,2,有,無,1200000,14310,,0.0,0
埔心鄉,房地(土地+建物),彰化縣埔心鄉東門村員鹿路二段81巷1~30號,80.66,工,,,10304,土地3建物1車位0,一層，二層，三層，四層，屋頂突出物,004,其他,見其他登記事項,鋼筋混凝土造,0970909,215.74,3,2,4,有,無,7000000,32446,,0.0,0
埔心鄉,土地,仁華段211~240地號,859.5,,特定農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,3490,,0.0,0
埔心鄉,土地,瓦窯北段1321~1350地號,224.22,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12208000,54447,,0.0,0
埔心鄉,房地(土地+建物),彰化縣埔心鄉中山路153巷31~60號,77.82,,鄉村區,乙種建築用地,10304,土地5建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0860830,149.4,4,3,3,有,無,4500000,30120,,0.0,0
埔心鄉,土地,霖鳳段1171~1200地號,3340.0,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9080000,2719,,0.0,0
花壇鄉,土地,口庄段361~390地號,3791.0,農,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10993900,2900,,0.0,0
彰化市,土地,大埔段901~930地號,9.0,住,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,747000,83000,,0.0,0
彰化市,車位,彰化縣彰化巿中華西路571巷1~30號,0.0,,,,10303,土地0建物0車位1,地下層,012,其他,住家用,鋼筋混凝土造,0830831,12.95,0,0,0,有,有,450000,,坡道平面,0.0,450000
花壇鄉,土地,灣東段211~240地號,164.94,,山坡地保育區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,186029,1128,,0.0,0
彰化市,房地(土地+建物)+車位,彰化縣彰化巿旭光路271~300號,10.89,住,,,10304,土地1建物1車位1,十層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860125,126.29,2,2,2,有,有,6000000,47510,升降機械,0.0,0
秀水鄉,土地,曾厝段271~300地號,58.12,,鄉村區,乙種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,668000,11493,,0.0,0
秀水鄉,土地,曾厝段271~300地號,101.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,458000,4535,,0.0,0
和美鎮,房地(土地+建物),彰化縣和美鎮南軒路96巷1~30號,220.0,,鄉村區,乙種建築用地,10304,土地3建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,0830610,347.86,4,2,5,有,無,6300000,18111,,0.0,0
員林鎮,土地,惠農段1201~1230地號,119.49,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6624884,55443,,0.0,0
社頭鄉,房地(土地+建物),彰化縣社頭鄉清水岩路211~240號,93.98,住,,,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0790313,122.31,4,2,3,有,無,3600000,29433,,0.0,0
埤頭鄉,土地,合興段781~810地號,1583.99,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2375900,1500,,0.0,0
埤頭鄉,土地,崙子段崙子小段91~120地號,4815.0,,特定農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7318900,1520,,0.0,0
竹塘鄉,土地,五庄子段151~180地號,347.17,,鄉村區,乙種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2070000,5962,,0.0,0
竹塘鄉,土地,面前厝段361~390地號,4195.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4404750,1050,,0.0,0
埔心鄉,土地,太平東段1681~1710地號,2.13,,鄉村區,乙種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33500,15728,,0.0,0
埔心鄉,土地,太平東段1681~1710地號,1.12,,鄉村區,乙種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17600,15714,,0.0,0
芳苑鄉,土地,芳寶段781~810地號,3011.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4004630,1330,,0.0,0
芳苑鄉,土地,芳寶段781~810地號,2346.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3120180,1330,,0.0,0
二林鎮,土地,新生段361~390地號,142.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2150000,15141,,0.0,0
二林鎮,土地,儒德段601~630地號,91.91,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,43521,,0.0,0
田尾鄉,房地(土地+建物),彰化縣田尾鄉饒平村建平路一段103巷2弄1~30號,80.13,,鄉村區,乙種建築用地,10303,土地2建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0830516,159.63,4,2,3,有,無,3050000,19107,,0.0,0
溪州鄉,土地,新興段1831~1860地號,1973.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,1267,,0.0,0
花壇鄉,房地(土地+建物),彰化縣花壇鄉溪北街91~120號,98.49,,鄉村區,乙種建築用地,10304,土地2建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0890927,214.01,5,2,4,有,無,6300000,29438,,0.0,0
彰化市,土地,南興段901~930地號,38.63,住,,,10303,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,635000,16438,,0.0,0
彰化市,土地,民族段571~600地號,21.0,商,,,10302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5080000,241905,,0.0,0
埔心鄉,土地,東門段901~930地號,184.0,住,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3108668,16895,,0.0,0
埔鹽鄉,土地,光明段1771~1800地號,272.18,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,2939,,0.0,0
二林鎮,建物,彰化縣二林鎮二溪路七段306巷1~30號,0.0,,,,10303,土地0建物1車位0,全,001,透天厝,住家用,加強磚造,0871008,72.72,1,2,1,有,無,1000000,13751,,0.0,0
二林鎮,土地,偉糖段31~60地號,2816.0,,特定農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3379000,1200,,0.0,0
芳苑鄉,土地,芳合段361~390地號,7422.55,,一般農業區,農牧用地,10304,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6970095,939,,0.0,0
芳苑鄉,土地,芳林段91~120地號,6696.01,,一般農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6316200,943,,0.0,0
田尾鄉,土地,田崙段181~210地號,90.14,農,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,33282,,0.0,0
田尾鄉,土地,田崙段181~210地號,193.98,農,,,10303,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7430000,38303,,0.0,0
田尾鄉,建物,彰化縣田尾鄉民族路一段185巷1~30號,0.0,,,,10303,土地0建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1020517,248.46,7,3,7,有,有,4950000,19923,,0.0,0
溪州鄉,土地,西斗段1021~1050地號,536.13,,特定農業區,農牧用地,10304,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,933,,0.0,0
二水鄉,土地,光明段841~870地號,104.12,住,,,10304,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,30734,,0.0,0
社頭鄉,建物,彰化縣社頭鄉民生路199巷1~30號,0.0,,,,10304,土地0建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0950629,168.01,4,2,3,有,無,800000,4762,,0.0,0
田中鎮,房地(土地+建物),彰化縣田中鎮福安路292巷88弄1~30號,121.27,住,,,10304,土地3建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,0930426,213.97,4,3,4,有,無,6300000,29443,,0.0,0
大村鄉,房地(土地+建物),彰化縣大村鄉擺塘村擺塘橫巷1~30號,101.61,,鄉村區,乙種建築用地,10303,土地2建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0900717,146.8,6,1,3,有,無,3500000,23842,,0.0,0
大村鄉,土地,茄苳段871~900地號,6037.21,,特定農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12680000,2100,,0.0,0
永靖鄉,土地,港西段511~540地號,388.54,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2585000,6653,,0.0,0
員林鎮,土地,橋愛段1441~1470地號,422.01,住,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25785300,61101,,0.0,0
員林鎮,土地,橋愛段1471~1500地號,243.54,住,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11418000,46883,,0.0,0
永靖鄉,土地,湳墘段571~600地號,276.79,農,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,580000,2095,,0.0,0
