鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
朴子市,建物,嘉義縣朴子市仁和二路121~150號,7.6,住,,,10304,土地0建物1車位0,七層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.22,1,0,1,有,有,有,2500,80,,0.0,0
太保市,建物,嘉義縣太保巿祥和三路東段301~330號,29.72,住,,,10305,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0970703,65.19,4,3,5,有,無,無,15000,230,,0.0,0
水上鄉,房地(土地+建物),嘉義縣水上鄉大崙151~180號,238.0,,特定農業區,農牧用地,10304,土地1建物1車位0,一層,1,農舍,農舍,見其他登記事項,1020226,238.0,0,0,0,無,無,無,35000,,,0.0,0
太保市,建物,嘉義縣太保巿太保二路31~60號,45.28,住,,,10305,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850207,148.2,4,1,2,有,無,有,12000,81,,0.0,0
朴子市,建物,嘉義縣朴子市海通路31~60號,75.0,住,,,10305,土地0建物1車位0,一層,2,店面(店鋪),住家用,見其他登記事項,0841129,46.69,0,0,0,無,無,有,12000,257,,0.0,0
