鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
嘉義市,建物,嘉義市嘉義巿西區仁愛路211~240號,0.0,其他,,,10305,土地0建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0931028,175.82,0,0,0,無,有,無,28000,159,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿臺林街91~120號,55.52,住,,,10304,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0790803,55.52,0,0,0,無,無,無,24000,432,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿中山路181~210號,103.0,商,,,10305,土地2建物1車位0,全,1,透天厝,住商用,木造,0570310,48.43,0,0,0,無,無,無,20000,413,,0.0,0
