鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
萬華區,建物,臺北市萬華區漢口街二段1~30號,0.0,商,,,10304,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001125,104.05,2,1,1,有,有,有,44000,423,,0.0,0
萬華區,建物,臺北市萬華區西寧南路121~150號,0.0,商,,,10304,土地0建物1車位0,十三層,27,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1010320,144.73000000000002,2,2,2,有,有,有,55000,380,,0.0,0
中山區,建物,臺北市中山區中山北路二段62巷1~30號,0.0,住,,,10304,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1011203,134.14,2,2,2,有,無,有,60000,447,,0.0,0
中山區,建物,臺北市中山區南京東路三段89巷27弄1~30號,0.0,住,,,10304,土地0建物1車位0,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980901,204.09,3,2,2,有,有,有,110000,539,,0.0,0
中山區,建物,臺北市中山區中山北路二段62巷1~30號,0.0,商,,,10304,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),,加強磚造,,61.25,0,0,0,無,無,無,33000,539,,0.0,0
中山區,建物,臺北市中山區長春路31~60號,0.0,商,,,10304,土地0建物1車位0,七層,12,辦公商業大樓,商業用,鋼筋混凝土造,0730326,56.43,0,0,0,無,有,無,17000,301,,0.0,0
內湖區,建物,臺北市內湖區內湖路三段91~120號,0.0,商,,,10304,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0980119,78.61000000000001,0,0,0,無,無,無,23000,293,,0.0,0
中山區,建物,臺北市中山區中山北路一段121巷31~60號,0.0,,,,10304,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,72.93,1,1,1,有,有,有,49000,672,,0.0,0
內湖區,建物,臺北市內湖區康寧路三段31~60號,4.26,住,,,10304,土地0建物0車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961121,118.21,3,2,2,有,無,有,34090,288,,0.0,0
內湖區,建物,臺北市內湖區成功路四段167巷1~30號,0.0,住,,,10304,土地0建物1車位1,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940627,294.36,3,2,2,有,有,有,120000,408,坡道平面,48.51,0
中山區,房地(土地+建物),臺北市中山區松江路211~240號,27.12,商,,,10304,土地1建物1車位0,地下一層,16,店面(店鋪),商業用,鋼筋混凝土造,0770917,1218.56,0,0,0,無,有,無,588800,483,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區江南街61~90號,11.4,住,,,10305,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0700327,74.58,0,0,0,無,無,有,75000,1006,一樓平面,24.13,0
內湖區,房地(土地+建物),臺北市內湖區東湖路119巷50弄1~30號,30.4,住,,,10305,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731106,104.72,0,0,0,無,無,有,18500,177,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖一路61~90號,76.96,工,,,10304,土地1建物1車位1,五層,7,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1010626,318.30999999999995,0,0,0,無,有,無,75000,236,坡道平面,33.16,0
中山區,建物,臺北市中山區中山北路一段121巷31~60號,0.0,住,,,10305,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,97.79,2,1,1,有,有,有,50000,511,,0.0,0
中山區,建物,臺北市中山區雙城街19巷1~30號,0.0,商,,,10304,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970312,71.02000000000001,2,1,1,有,有,有,40000,563,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區瑞光路258巷31~60號,81.83,工,,,10304,土地1建物1車位0,一層,9,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0981204,581.3299999999999,0,0,0,無,有,無,209524,360,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區星雲街1~30號,28.43,住,,,10304,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0760629,98.78,3,2,2,有,無,無,12000,121,,0.0,0
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,,,10304,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,89.64,1,1,1,有,有,有,60000,669,,0.0,0
中山區,建物,臺北市中山區中山北路一段53巷1~30號,0.0,商,,,10304,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970104,83.82,1,2,2,有,有,有,48000,573,,0.0,0
中山區,建物,臺北市中山區中山北路一段121巷31~60號,0.0,商,,,10304,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,98.59,2,1,1,有,有,有,50000,507,,0.0,0
中正區,建物,臺北市中正區臨沂街31~60號,0.0,住,,,10304,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990108,91.68,2,1,1,有,有,有,48000,524,,0.0,0
中正區,建物,臺北市中正區忠孝東路一段31~60號,0.0,商,,,10304,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950926,96.85,1,1,1,有,有,有,50000,516,,0.0,0
中正區,建物,臺北市中正區臨沂街31~60號,0.0,住,,,10304,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990901,164.59,3,2,2,有,有,有,80000,486,坡道平面,46.46,0
中正區,建物,臺北市中正區臨沂街31~60號,0.0,住,,,10304,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990901,38.660000000000004,1,1,0,有,有,有,20000,517,,0.0,0
松山區,建物,臺北市松山區臺北市松山區南京東路四段91~120號,0.0,商,,,10305,土地0建物1車位0,一層,15,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,0990831,94.4,0,0,0,無,有,無,85227,903,,0.0,0
大安區,房地(土地+建物),臺北市大安區延吉街131巷31~60號,51.42,住,,,10304,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,291.15,2,2,2,有,有,無,142045,488,,0.0,0
