鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
頭份鎮,土地,頭份段二小段121~150地號,304.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,66000,217,,0.0,0
苗栗市,房地(土地+建物),苗栗縣苗栗巿恭敬里8鄰中正路1081~1110號,4.02,住,,,10305,土地3建物1車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960716,31.51,1,0,1,有,無,有,5800,184,,0.0,0
竹南鎮,房地(土地+建物),苗栗縣竹南鎮建國路313巷1~30號,26.68,住,,,10305,土地1建物1車位0,三層,8,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1020703,70.21,2,1,1,有,有,無,11000,157,,0.0,0
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮三泰街211~240號,328.0,工,,,10207,土地1建物1車位1,全,2,透天厝,見其他登記事項,加強磚造,0680618,339.6,3,3,2,有,無,無,35000,103,其他,0.0,0
