鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
花蓮市,房地(土地+建物),花蓮縣花蓮巿中和街211~240號,31.33,住,,,10303,土地2建物1車位0,十一層，十二層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890807,238.44,4,2,3,有,有,6410000,26883,,0.0,0
花蓮市,車位,花蓮縣花蓮巿中和街211~240號,0.0,,,,10303,土地0建物0車位1,,,其他,,,,14.09,0,0,0,有,有,640000,,坡道平面,14.09,640000
新城鄉,土地,草林段631~660地號,290.07,,一般農業區,甲種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,8963,,0.0,0
吉安鄉,土地,南埔段2761~2790地號,3009.0,,特定農業區,農牧用地,10302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13500000,4487,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美路61~90號,78.0,商,,,10304,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土造,0811207,201.45,3,2,3,有,無,10700000,53115,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿國富十四街1~30號,9.76,住,,,10305,土地1建物1車位0,四層,005,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840303,36.03,1,0,1,有,無,1080000,29975,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海七街181~210號,113.0,,特定農業區,甲種建築用地,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0830713,174.66,3,2,3,有,無,5100000,29200,,0.0,0
新城鄉,房地(土地+建物),花蓮縣新城鄉紫園2巷1~30號,194.02,,一般農業區,甲種建築用地,10304,土地1建物1車位0,全,001,透天厝,住家用,鋼筋混凝土加強磚造,0711129,94.6,3,2,2,有,無,4800000,50740,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿復興街1~30號,259.0,商,,,10304,土地3建物1車位0,全,005,透天厝,商業用,鋼筋混凝土造,,959.52,32,1,32,有,無,26000000,27097,,0.0,0
壽豐鄉,土地,吳全段1201~1230地號,5960.69,農,,,10305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,1510,,0.0,0
壽豐鄉,土地,忠孝段841~870地號,394.21,農,,,10305,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2850000,7230,,0.0,0
壽豐鄉,土地,豐坪段541~570地號,4929.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7600000,1542,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿國富十七街1~30號,17.55,住,,,10304,土地1建物1車位0,六層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810121,105.25999999999999,3,2,1,有,無,2000000,19001,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿德安一街31~60號,68.0,住,,,10304,土地2建物1車位0,全,002,透天厝,住家用,鋼筋混凝土造,0660401,100.49,4,2,3,有,無,6080000,60504,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿富強路1~30號,68.49,住,,,10304,土地1建物1車位0,二層，騎樓，一層，地下層,007,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0800429,373.61,3,2,2,有,無,15000000,40149,,0.0,0
吉安鄉,土地,白雲段601~630地號,284.35,,山坡地保育區,農牧用地,10305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,703,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉稻香四街1巷1~30號,111.0,住,,,10303,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0850123,156.94,4,2,3,有,無,6300000,40143,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美一街61~90號,29.6,商,,,10304,土地2建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701228,101.94,3,2,2,有,無,2830000,27761,,0.0,0
花蓮市,土地,自強段421~450地號,108.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6750000,62500,,0.0,0
花蓮市,建物,花蓮縣吉安鄉建昌路151巷1~30號,0.0,,,,10304,土地0建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1020308,228.17,3,2,5,有,無,6750000,29583,,0.0,0
壽豐鄉,土地,忠孝段571~600地號,3553.39,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8599200,2420,,0.0,0
吉安鄉,土地,南埔段2911~2940地號,4850.0,,特定農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25600000,5278,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿國聯四路61~90號,7.21,住,,,10304,土地1建物1車位0,二層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830110,67.56,1,1,1,有,有,1000000,14802,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中原路一段229巷1~30號,85.4,住,,,10304,土地1建物1車位0,全,005,透天厝,住家用,鋼筋混凝土造,0870309,244.45,6,2,4,有,無,6700000,27408,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉文化十三街1~30號,100.0,住,,,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0950815,215.06,4,2,5,有,無,11300000,52543,,0.0,0
秀林鄉,土地,道拉斯段1171~1200地號,2286.03,,一般農業區,農牧用地,10305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2050000,897,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿福光街331~360號,158.54,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0701012,100.61,5,2,2,有,無,3500000,34788,,0.0,0
壽豐鄉,土地,吳全段1051~1080地號,2515.94,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5708000,2269,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉太昌路122巷1~30號,116.0,住,,,10304,土地1建物1車位0,全,001,透天厝,住家用,鋼筋混凝土加強磚造,0661229,59.16,0,0,0,無,無,2807200,47451,,0.0,0
壽豐鄉,土地,榮光段991~1020地號,3115.56,農,,,10305,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7536000,2419,,0.0,0
吉安鄉,土地,廣賢段301~330地號,7447.17,,一般農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,1007,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿富裕十六街31~60號,14.51,住,,,10304,土地1建物1車位0,五層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831103,49.04,1,0,1,有,無,1170000,23858,,0.0,0
花蓮市,土地,四維段541~570地號,6241.93,農,,,10302,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75600000,12112,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿民德四街31~60號,22.05,住,,,10303,土地1建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750318,80.67,2,1,1,有,無,1988000,24644,,0.0,0
玉里鎮,房地(土地+建物),花蓮縣玉里鎮中華路61~90號,174.0,商,,,10305,土地2建物1車位0,全,001,透天厝,住家用,木造,,106.32,3,2,1,有,無,4000000,37622,,0.0,0
玉里鎮,土地,麻汝段2101~2130地號,9825.01,,一般農業區,農牧用地,10305,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,560,,0.0,0
吉安鄉,土地,永安段661~690地號,109.8,,一般農業區,交通用地,10303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,647820,5900,,0.0,0
吉安鄉,土地,太昌段1921~1950地號,118.0,住,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1770000,15000,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美五街122巷1~30號,27.88,住,,,10304,土地1建物1車位0,一層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720107,73.38,3,2,1,有,無,2570000,35023,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉仁里三街61~90號,67.0,住,,,10303,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土造,0860429,173.89,5,1,3,有,無,6800000,39105,,0.0,0
豐濱鄉,土地,秀山段721~750地號,680.67,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,441,,0.0,0
