鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
安樂區,建物,基隆市安樂區樂利二街62巷271~300號,0.0,住,,,10304,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881231,88.09,2,1,1,有,有,有,11000,125,,0.0,0
安樂區,房地(土地+建物),基隆市安樂區中和路168巷14弄31~60號,42.89,住,,,10304,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840117,165.01,3,2,1,有,無,有,10000,61,,0.0,0
七堵區,房地(土地+建物),基隆市七堵區工建西路1~30號,555.37,工,,,10304,土地1建物1車位0,見其他登記事項,2,廠辦,工業用,鋼筋混凝土造,0760615,2517.92,0,0,0,無,無,無,200000,79,,0.0,0
