鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
大溪鎮,房地(土地+建物)+車位,桃園縣大溪鎮介壽路22巷1~30號,32.79,住,,,10304,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000919,108.27,3,2,2,有,有,無,12000,111,坡道平面,28.09,0
平鎮市,房地(土地+建物),桃園縣平鎮市廣德街1~30號,32.19,住,,,10305,土地1建物1車位0,一層,9,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960614,94.58,0,0,0,無,有,無,19300,204,,0.0,0
楊梅市,建物,桃園縣楊梅市秀才路31~60號,374.0,,,,10304,土地0建物1車位0,一層,1,店面(店鋪),住家用,加強磚造,0650310,279.94,0,0,0,無,無,無,16000,57,,0.0,0
平鎮市,房地(土地+建物),桃園縣平鎮市太平西路37巷10弄1~30號,73.0,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0700210,95.18,4,2,2,有,無,無,9500,100,,0.0,0
龍潭鄉,房地(土地+建物)+車位,桃園縣龍潭鄉百年二街1~30號,34.73,,鄉村區,乙種建築用地,10305,土地2建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860626,120.5,3,2,2,有,有,有,12000,100,坡道平面,36.44,0
八德市,房地(土地+建物),桃園縣八德市正福五街61~90號,15.37,商,,,10304,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0960621,153.44,1,0,0,無,無,有,23000,150,,0.0,0
八德市,房地(土地+建物)+車位,桃園縣八德市和平路121~150號,21.36,住,,,10303,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020701,162.86,3,2,2,有,有,有,15000,92,坡道平面,0.0,0
八德市,房地(土地+建物)+車位,桃園縣八德市中華路211~240號,17.05,住,,,10304,土地1建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860402,123.07,3,2,2,有,有,有,14000,114,坡道平面,0.0,0
八德市,房地(土地+建物),桃園縣八德市金和路31~60號,19.04,住,,,10305,土地1建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960815,117.59,3,2,2,有,有,有,15000,128,,0.0,0
蘆竹鄉,房地(土地+建物)+車位,桃園縣蘆竹鄉長春路91~120號,17.23,住,,,10304,土地1建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870515,118.16,3,2,2,有,有,有,17000,144,坡道平面,45.42,0
八德市,房地(土地+建物)+車位,桃園縣八德市和平路121~150號,19.96,住,,,10304,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020701,154.45,3,2,2,有,有,無,13000,84,坡道平面,0.0,0
中壢市,房地(土地+建物),桃園縣中壢市文化路331~360號,22.0,住,,,10304,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0701121,85.5,0,1,1,有,無,無,30000,351,,0.0,0
八德市,建物,桃園縣八德市中華路271~300號,0.0,,,,10303,土地0建物1車位0,一層,15,店面(店鋪),住商用,鋼筋混凝土造,0841201,248.03,2,3,2,有,有,有,32000,129,,0.0,0
八德市,房地(土地+建物),桃園縣八德市介壽路二段685巷50弄31~60號,21.51,,鄉村區,乙種建築用地,10304,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0700703,84.0,3,2,1,有,無,無,8000,95,,0.0,0
八德市,房地(土地+建物),桃園縣八德市介壽路一段645巷31~60號,19.33,住,,,10304,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691002,94.62,3,2,1,有,無,無,7000,74,,0.0,0
中壢市,房地(土地+建物),桃園縣中壢市龍川五街1~30號,38.43,住,,,10305,土地1建物2車位0,見其他登記事項,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830926,214.48,3,2,3,有,有,有,25000,117,,0.0,0
中壢市,建物,桃園縣中壢市民權路331~360號,0.0,其他,,,10304,土地0建物1車位1,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970925,205.32,4,2,2,有,有,有,35000,170,坡道平面,63.23,0
桃園市,房地(土地+建物),桃園縣桃園市永福西街112巷1~30號,14.11,住,,,10305,土地1建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821015,114.37,3,2,2,有,有,有,12500,109,,0.0,0
大園鄉,房地(土地+建物)+車位,桃園縣大園鄉致祥一街91~120號,5160.13,住,,,10305,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020416,291.37,4,2,2,有,有,有,30000,103,坡道平面,0.0,0
中壢市,建物,桃園縣中壢市金山二街1~30號,0.0,住,,,10304,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0800607,131.33,2,1,1,有,無,無,6000,46,,0.0,0
中壢市,建物,桃園縣中壢市新中北路151~180號,0.0,住,,,10304,土地0建物1車位0,六層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860507,62.18,1,1,1,有,有,有,6000,96,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市國鼎一街1~30號,19.49,住,,,10305,土地1建物1車位0,十三層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860903,132.07999999999998,3,2,2,有,有,有,14050,106,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市泰成路81巷31~60號,123.0,住,,,10304,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720408,83.02,2,2,1,有,有,有,16000,193,,0.0,0
桃園市,房地(土地+建物)+車位,桃園縣桃園市中正路1111~1140號,14.41,住,,,10305,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930727,161.23,3,2,2,有,有,有,30000,186,坡道平面,27.27,0
平鎮市,房地(土地+建物),桃園縣平鎮市新華路61~90號,20.92,住,,,10212,土地2建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850316,164.2,4,2,2,有,無,無,11000,67,,0.0,0
蘆竹鄉,房地(土地+建物)+車位,桃園縣蘆竹鄉仁愛路二段1~30號,20.51,住,,,10301,土地1建物1車位0,十一層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0910205,196.67000000000002,3,2,1,有,無,有,23000,117,坡道平面,40.16,0
觀音鄉,建物,桃園縣觀音鄉成功路一段481~510號,0.0,,工業區,丁種建築用地,10305,土地0建物1車位0,見其他登記事項,2,工廠,見其他登記事項,鋼筋混凝土造,0781009,9098.92,0,0,0,無,無,無,819000,,,0.0,0
中壢市,房地(土地+建物),桃園縣中壢市永福路1021~1050號,15.06,住,,,10304,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840822,99.96,3,2,2,有,有,有,10000,100,,0.0,0
中壢市,房地(土地+建物),桃園縣中壢市新中二街1~30號,7.17,住,,,10305,土地1建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951011,33.59,1,1,1,有,有,有,6000,179,,0.0,0
中壢市,房地(土地+建物),桃園縣中壢市永福路901~930號,19.85,住,,,10305,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950611,66.72,3,2,2,有,有,無,14000,210,,0.0,0
