鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興路338巷1~30號,21.02,住,,,10303,土地1建物1車位1,十一層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030228,136.8,2,2,1,有,有,7350000,62971,坡道平面,35.96,1000000
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興路338巷1~30號,21.02,住,,,10303,土地1建物1車位1,十二層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030228,136.8,2,2,1,有,有,7580000,62773,坡道平面,35.96,1250000
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興路338巷1~30號,32.34,住,,,10303,土地1建物1車位2,五層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030228,224.01999999999998,4,2,2,有,有,11580000,61012,坡道平面,71.92,2300000
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興路338巷1~30號,26.19,住,,,10303,土地1建物1車位1,二層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030228,163.55,3,2,2,有,有,8640000,57528,坡道平面,35.96,1300000
竹北市,土地,莊敬段481~510地號,64.21,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4400000,68525,,0.0,0
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家一路一段121~150號,14.75,住,,,10304,土地1建物1車位2,三層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000707,137.61,2,1,1,有,有,8930000,64894,坡道平面,60.92,0
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街121~150號,25.77,住,,,10303,土地1建物1車位1,一層，二層,009,店面(店鋪),商業用,鋼筋混凝土造,0961228,152.41,0,0,1,無,無,8650000,56755,坡道平面,0.0,0
新埔鎮,土地,南打鐵坑段南打鐵坑小段241~270地號,2832.0,,山坡地保育區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5600000,1977,,0.0,0
竹北市,房地(土地+建物)+車位,新竹縣竹北市新民街213巷7弄1~30號,21.61,住,,,10303,土地1建物1車位1,二層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850717,107.23,3,2,1,有,有,4200000,39168,坡道機械,0.0,0
竹北市,房地(土地+建物),新竹縣竹北市嘉興路181~210號,5.78,商,,,10304,土地2建物1車位0,四層,007,套房(1房1廳1衛),商業用,鋼筋混凝土造,0980123,36.650000000000006,1,1,2,有,無,3000000,81855,,0.0,0
竹北市,房地(土地+建物)+車位,新竹縣竹北市文興路31~60號,34.37,住,,,10304,土地1建物1車位2,一層，見其他登記事項,012,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1010113,179.92000000000002,0,0,0,無,有,22800000,126723,坡道平面,0.0,0
竹北市,房地(土地+建物),新竹縣竹北市白地街499巷31~60號,92.33,,特定農業區,甲種建築用地,10304,土地2建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0960628,203.87,4,2,4,有,無,8400000,41203,,0.0,0
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家六街31~60號,27.79,住,,,10304,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940422,168.53,3,2,2,有,有,9500000,56370,坡道平面,0.0,0
竹北市,土地,斗崙段頂斗崙小段91~120地號,10.82,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,655243,60559,,0.0,0
關西鎮,土地,西安段121~150地號,93.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2475660,26620,,0.0,0
竹北市,房地(土地+建物),新竹縣竹北市和平街181~210號,93.86,住,,,10303,土地1建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0921106,175.3,4,2,3,有,無,8800000,50200,,0.0,0
竹北市,房地(土地+建物),新竹縣竹北市十興里文采街31~60號,7.66,商,,,10304,土地1建物1車位0,二層,005,套房(1房1廳1衛),商業用,鋼筋混凝土造,0961213,29.0,1,1,1,有,有,2400000,82759,,0.0,0
