鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
永康區,房地(土地+建物),臺南市永康區復國二路346巷1~30號,82.31,住,,,10304,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0831118,182.4,4,2,3,有,無,無,13000,71,,0.0,0
永康區,建物,臺南市永康區南工街211~240號,215.4,住,,,10304,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0841127,240.93,5,2,3,有,無,有,16800,70,,0.0,0
中西區,房地(土地+建物),臺南市中西區民權路二段121~150號,170.04,商,,,10305,土地1建物1車位0,二層,4,店面(店鋪),住商用,加強磚造,0580925,291.18,0,0,0,無,無,無,50000,172,,0.0,0
北區,房地(土地+建物),臺南市北區公園南路370巷31~60號,1.44,住,,,10304,土地1建物1車位0,十六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840912,73.92,2,2,2,有,有,有,9500,129,,0.0,0
中西區,房地(土地+建物),臺南市中西區民族路二段391~420號,37.72,商,,,10304,土地3建物1車位0,全,4,透天厝,,鋼筋混凝土造,0650228,109.08,0,0,0,無,無,無,21000,193,,0.0,0
歸仁區,房地(土地+建物),臺南市歸仁區仁愛北街61~90號,1909.0,住,,,10304,土地1建物1車位0,二層,8,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0840106,77.15,2,2,2,有,無,有,7500,97,,0.0,0
中西區,建物,臺南市中西區大德街1~30號,383.1,商,,,10304,土地0建物0車位0,全,4,透天厝,住工用,鋼筋混凝土造,0811107,12.7,1,0,1,有,無,有,7000,551,,0.0,0
安平區,建物,臺南市安平區育平九街192巷61~90號,63.26,商,,,10305,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830512,77.28,2,2,2,有,無,有,10000,129,,0.0,0
永康區,房地(土地+建物)+車位,臺南市永康區永二街391~420號,0.0,住,,,10304,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830504,71.84,3,2,2,有,無,有,17600,245,坡道機械,10.8,0
永康區,建物,臺南市永康區復國一路511~540號,181.55,住,,,10305,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0811116,204.63,4,2,3,有,無,有,10000,49,,0.0,0
