鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
國姓鄉,土地,北港溪段31~60地號,2000.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,1100,,0.0,0
國姓鄉,土地,北港溪段31~60地號,4790.0,,特定農業區,農牧用地,10304,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,1461,,0.0,0
國姓鄉,土地,北港溪段31~60地號,4789.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,1462,,0.0,0
竹山鎮,房地(土地+建物),南投縣竹山鎮?H?S里鯉南路61~90號,121.21,住,,,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0880512,181.33,3,2,2,有,無,2000000,11030,,0.0,0
鹿谷鄉,土地,初鄉段691~720地號,4636.0,,山坡地保育區,林業用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,65,,0.0,0
魚池鄉,土地,明潭段751~780地號,278.4,其他,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5053004,18150,,0.0,0
國姓鄉,土地,水長流段121~150地號,3535.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4750000,1344,,0.0,0
信義鄉,土地,地利段151~180地號,1506.67,,森林區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60000,40,,0.0,0
南投市,土地,千秋段841~870地號,140.01,,特定農業區,甲種建築用地,10302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1512000,10799,,0.0,0
南投市,土地,千秋段841~870地號,505.89,,特定農業區,甲種建築用地,10302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7046000,13928,,0.0,0
南投市,土地,千秋段811~840地號,99.85,,特定農業區,甲種建築用地,10302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1273000,12749,,0.0,0
南投市,土地,千秋段811~840地號,99.85,,特定農業區,甲種建築用地,10302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1273000,12749,,0.0,0
水里鄉,土地,南湖段91~120地號,2101.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1890900,900,,0.0,0
南投市,土地,茄苳腳段481~510地號,3.9,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,25641,,0.0,0
集集鎮,土地,營子段481~510地號,5.6,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,390152,69670,,0.0,0
水里鄉,土地,拔社埔段2071~2100地號,1002.0,,山坡地保育區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,195000,195,,0.0,0
草屯鎮,土地,新光段1081~1110地號,45.0,,鄉村區,乙種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,6667,,0.0,0
魚池鄉,土地,中池段421~450地號,36.73,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,297000,8086,,0.0,0
國姓鄉,土地,水長流段121~150地號,3536.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4750000,1343,,0.0,0
埔里鎮,土地,三條崙段841~870地號,3209.9,,山坡地保育區,農牧用地,10304,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,3738,,0.0,0
竹山鎮,土地,嶺頂段451~480地號,50578.96,,森林區,林業用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2650000,52,,0.0,0
竹山鎮,土地,中州段151~180地號,64.64,,山坡地保育區,丙種建築用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,109883,1700,,0.0,0
竹山鎮,土地,中和段871~900地號,4537.96,,特定農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,926,,0.0,0
國姓鄉,房地(土地+建物),南投縣國姓鄉大長路451~480號,85.0,,鄉村區,乙種建築用地,10304,土地3建物1車位0,全,002,透天厝,住商用,磚造,0560112,85.27,3,1,1,有,無,600000,7036,,0.0,0
埔里鎮,土地,珠格段1741~1770地號,3258.48,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,3683,,0.0,0
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮碧山路331~360號,22.77,住,,,10304,土地1建物1車位1,七層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800920,133.85,3,2,2,有,無,2500000,18678,坡道平面,0.0,0
草屯鎮,房地(土地+建物),南投縣草屯鎮史?路397巷41弄1~30號,2132.0,,特定農業區,農牧用地,10303,土地1建物1車位0,一層,001,農舍,農舍,見其他登記事項,0970814,15.75,0,0,0,無,無,15350000,,,0.0,0
草屯鎮,土地,北投埔段1471~1500地號,2018.0,,特定農業區,農牧用地,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,2973,,0.0,0
草屯鎮,房地(土地+建物),南投縣草屯鎮碧山路1125巷67弄31~60號,133.04,,特定農業區,甲種建築用地,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1020411,184.26,4,2,4,有,無,7500000,40703,,0.0,0
南投市,土地,新豐段1081~1110地號,53.53,住,,,10304,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,7472,,0.0,0
草屯鎮,房地(土地+建物),南投縣草屯鎮虎山路威虎巷4弄1~30號,78.92,住,,,10304,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0680222,98.18,4,2,2,有,無,3550000,36158,,0.0,0
草屯鎮,土地,北投埔段211~240地號,149.0,,特定農業區,甲種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,26846,,0.0,0
草屯鎮,建物,南投縣草屯鎮碧峰路621巷31~60號,0.0,,,,10304,土地0建物1車位0,全,002,透天厝,住家用,加強磚造,0780610,130.16,3,2,2,有,無,500000,3841,,0.0,0
南投市,土地,大崗段31~60地號,182.0,,工業區,丁種建築用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,18132,,0.0,0
南投市,房地(土地+建物),南投縣南投巿軍功路205巷31~60號,161.74,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0690618,140.54,3,2,2,有,無,2900000,20635,,0.0,0
南投市,房地(土地+建物),南投縣南投巿中山街31~60號,6.76,住,,,10304,土地1建物1車位0,二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850410,36.05,1,0,1,有,無,680000,18863,,0.0,0
名間鄉,房地(土地+建物),南投縣名間鄉華山街77巷1~30號,124.91,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0690201,102.73,3,2,2,有,無,1950000,18982,,0.0,0
南投市,房地(土地+建物),南投縣南投巿大庄路151巷160弄1~30號,80.04,住,,,10304,土地2建物1車位0,全,003,透天厝,住家用,見其他登記事項,0900115,159.19,4,2,3,有,無,5750000,36120,,0.0,0
南投市,房地(土地+建物),南投縣南投巿南崗二路229巷61~90號,68.0,住,,,10305,土地1建物1車位0,全,002,透天厝,住商用,鋼筋混凝土加強磚造,0691208,87.05,5,2,2,有,無,2800000,32165,,0.0,0
南投市,土地,新生段1261~1290地號,1727.0,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23888000,13832,,0.0,0
南投市,土地,大崗段1~30地號,133.0,,工業區,丁種建築用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,17293,,0.0,0
南投市,房地(土地+建物),南投縣南投巿祖祠路80巷1~30號,141.26,住,,,10303,土地2建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1030122,190.22,4,1,3,有,無,6700000,35222,,0.0,0
南投市,房地(土地+建物),南投縣南投巿祖祠路80巷1弄1~30號,106.39,住,,,10304,土地2建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1030122,156.06,4,1,3,有,無,6500000,41651,,0.0,0
