鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段361~390號,20.74,商,,,10303,土地1建物1車位1,十層,018,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820626,205.2,3,2,2,有,有,35050000,170801,坡道平面,42.62,0
中山區,房地(土地+建物),臺北市中山區新生北路二段137巷1~30號,12.25,住,,,10303,土地2建物1車位0,三層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950102,45.8,1,1,1,有,有,8600000,187773,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區文德路61~90號,11.91,住,,,10303,土地1建物1車位0,七層,012,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0730208,67.71000000000001,3,2,2,有,有,2980000,44011,,0.0,0
中山區,車位,臺北市中山區南京東路三段61~90號,0.17,商,,,10304,土地0建物0車位1,地下四層,016,其他,見使用執照,鋼筋混凝土造,0811012,32.75,0,0,0,有,有,1950000,,坡道平面,0.0,1950000
中山區,房地(土地+建物),臺北市中山區林森北路241~270號,6.75,商,,,10303,土地2建物1車位0,五層,012,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0710707,81.66,2,1,1,有,有,10800000,132256,,0.0,0
中山區,土地,正義段三小段121~150地號,334.0,商,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000000,748503,,0.0,0
南港區,房地(土地+建物)+車位,臺北市南港區園區街1~30號,611.85,其他,,,10303,土地1建物1車位16,四層,021,廠辦,見其他登記事項,見其他登記事項,0920530,3499.19,0,0,0,無,有,338028750,112503,坡道機械,760.16,29880000
南港區,房地(土地+建物)+車位,臺北市南港區園區街1~30號,452.31,其他,,,10303,土地1建物1車位12,十層,021,廠辦,見其他登記事項,見其他登記事項,0920530,2593.7200000000003,0,0,0,無,有,257690495,116303,坡道機械,570.12,22340000
南港區,房地(土地+建物)+車位,臺北市南港區園區街1~30號,436.85,其他,,,10303,土地1建物1車位12,十層,021,廠辦,見其他登記事項,見其他登記事項,0920530,2524.49,0,0,0,無,有,248438437,115904,坡道機械,570.12,21920000
信義區,房地(土地+建物),臺北市信義區信安街61~90號,20.39,住,,,10304,土地2建物1車位0,四層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.11,3,2,2,有,無,17110000,151269,,0.0,0
信義區,房地(土地+建物),臺北市信義區吳興街432巷121~150號,31.62,住,,,10304,土地2建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781016,106.55,3,2,2,有,無,15520000,145659,,0.0,0
信義區,房地(土地+建物),臺北市信義區永吉路30巷12弄1~30號,28.6,住,,,10304,土地4建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701021,103.66,3,2,1,有,無,20680000,199498,,0.0,0
信義區,房地(土地+建物),臺北市信義區信義路五段150巷301~330號,4.58,住,,,10304,土地1建物1車位0,九層,013,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980408,33.01,1,1,1,有,有,8880000,269009,,0.0,0
松山區,房地(土地+建物),臺北市松山區市民大道五段1~30號,8.67,住,,,10304,土地1建物1車位0,七層,009,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970221,31.630000000000003,1,1,1,有,有,9000000,284540,,0.0,0
信義區,房地(土地+建物),臺北市信義區信義路六段76巷8弄1~30號,18.55,住,,,10303,土地2建物1車位0,三層，陽台,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650315,78.31,2,2,1,有,無,12500000,159622,,0.0,0
信義區,車位,臺北市信義區永吉路120巷1~30號,1.45,住,,,10304,土地0建物0車位1,二層,010,其他,住家用,鋼筋混凝土造,0951201,34.82,0,0,0,有,有,2600000,,坡道平面,0.0,2600000
松山區,房地(土地+建物)+車位,臺北市松山區民權東路三段151~180號,113.1,住,,,10304,土地2建物1車位8,十五層,015,辦公商業大樓,見使用執照,見使用執照,0911001,1185.55,0,0,0,無,有,249000000,210029,坡道平面,0.0,0
信義區,房地(土地+建物)+車位,臺北市信義區基隆路一段101巷1~30號,12.92,商,,,10304,土地3建物1車位1,八層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961106,136.57999999999998,2,2,1,有,有,28700000,210133,坡道平面,46.84,0
信義區,房地(土地+建物),臺北市信義區中坡南路181~210號,21.55,住,,,10303,土地2建物1車位0,三層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,61.33,2,1,1,有,無,9500000,154900,,0.0,0
信義區,房地(土地+建物),臺北市信義區基隆路一段147巷5弄1~30號,24.75,住,,,10304,土地2建物1車位0,二層，陽台,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620820,64.12,2,2,1,有,無,15880000,247661,,0.0,0
南港區,房地(土地+建物),臺北市南港區港東街91~120號,9.54,住,,,10304,土地1建物1車位0,一層，二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960115,21.53,4,2,2,有,有,3400000,157919,,0.0,0
南港區,房地(土地+建物),臺北市南港區東明街61~90號,20.32,住,,,10303,土地7建物1車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,84.13,3,1,1,有,無,12500000,148580,,0.0,0
松山區,房地(土地+建物),臺北市松山區八德路三段12巷70弄1~30號,48.5,住,,,10304,土地2建物1車位0,七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810630,179.04000000000002,3,2,2,有,無,42350000,236539,,0.0,0
南港區,房地(土地+建物),臺北市南港區研究院路二段12巷58弄1~30號,29.78,住,,,10304,土地1建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,101.16,3,2,1,有,無,12250000,121095,,0.0,0
南港區,土地,新光段二小段511~540地號,316.0,住,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,86030000,272247,,0.0,0
信義區,房地(土地+建物),臺北市信義區和平東路三段391巷8弄1~30號,32.8,住,,,10304,土地0建物1車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,116.23,4,2,2,有,無,17600000,151424,,0.0,0
南港區,房地(土地+建物)+車位,臺北市南港區園區街1~30號,26.01,住,,,10303,土地1建物1車位1,六層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000412,171.36,3,2,2,有,有,34500000,201331,坡道平面,0.0,0
松山區,土地,敦化段一小段91~120地號,18.29,其他,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1166629,63785,,0.0,0
南港區,房地(土地+建物)+車位,臺北市南港區福德街391~420號,22.2,住,,,10301,土地1建物1車位1,五層,016,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0870521,131.35,3,2,1,有,有,14810000,112752,坡道平面,0.0,0
松山區,房地(土地+建物),臺北市松山區南京東路五段331~360號,6.43,住,,,10303,土地1建物1車位0,六層，電梯樓梯間,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841213,54.21,1,1,1,有,有,11000000,202915,,0.0,0
北投區,房地(土地+建物),臺北市北投區泉源路31~60號,11.19,住,,,10304,土地1建物1車位0,三層,013,套房(1房1廳1衛),住家用,鋼筋混凝土造,0890615,46.11,0,0,0,無,有,7000000,151811,,0.0,0
士林區,房地(土地+建物),臺北市士林區中正路223巷31~60號,20.0,商,,,10304,土地1建物1車位0,一層,002,套房(1房1廳1衛),住家用,加強磚造,0530101,38.04,1,1,1,有,無,12480000,328076,,0.0,0
