鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路73巷1~30號,30.97,住,,,10204,土地3建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691114,94.62,3,1,1,有,無,2500000,26421,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿環市東路三段301~330號,955.59,,特定農業區,農牧用地,10304,土地2建物1車位0,一層，二層，三層,003,農舍,農舍,鋼筋混凝土造,1020107,152.51,4,2,4,有,無,13500000,,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿嵐峰路三段186巷1~30號,98.2,住,,,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021223,186.29,3,2,3,有,無,11000000,59048,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿嵐峰路三段186巷1~30號,105.0,住,,,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021223,187.34,3,2,3,有,無,9800000,52311,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿嵐峰路三段186巷1~30號,102.0,住,,,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021223,186.58,3,2,3,有,無,9700000,51988,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿嵐峰路三段181~210號,98.68,住,,,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021223,184.79,3,2,3,有,無,12220000,66129,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿嵐峰路三段186巷1~30號,97.26,住,,,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021223,186.58,3,2,3,有,無,9880000,52953,,0.0,0
壯圍鄉,土地,壯濱一段211~240地號,2500.6,,一般農業區,農牧用地,10303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5700000,2279,,0.0,0
礁溪鄉,土地,新塭段361~390地號,1035.17,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3914236,3781,,0.0,0
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中興一路181巷1~30號,32.25,,特定農業區,甲種建築用地,10304,土地1建物1車位0,三層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840605,79.77,3,2,2,有,無,1480000,18553,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿農權路191巷1~30號,13.94,商,,,10304,土地2建物1車位0,六層,010,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1001216,74.99,2,0,2,有,有,3900000,52007,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿延平路56巷1~30號,20.23,住,,,10304,土地2建物1車位0,七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830802,146.93,3,2,2,有,有,4500000,30627,,0.0,0
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭巿自強路91~120號,24.1,住,,,10304,土地1建物1車位1,五層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810215,168.27999999999997,3,2,2,有,有,5500000,32686,坡道平面,0.0,0
壯圍鄉,土地,中興段211~240地號,2896.0,,特定農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9198400,3176,,0.0,0
宜蘭市,土地,進士段121~150地號,1052.66,住,,,10304,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,47359495,44990,,0.0,0
礁溪鄉,土地,民權段541~570地號,310.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1054000,3400,,0.0,0
