鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
中和區,建物,新北市中和區新北市中和區連城路121~150號,0.0,住,,,10304,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930915,186.18,3,2,1,有,有,無,21260,114,,0.0,0
中和區,建物,新北市中和區新北市中和區中正路1~30號,0.0,住,,,10304,土地0建物1車位1,十四層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0910507,203.65,4,2,2,有,有,有,34000,167,升降機械,31.64,0
新莊區,房地(土地+建物),新北市新莊區昌明街61~90號,14.45,商,,,10304,土地1建物1車位0,一層,11,店面(店鋪),住商用,鋼筋混凝土造,0831130,130.6,0,0,0,無,有,無,54000,413,,0.0,0
新莊區,房地(土地+建物),新北市新莊區中信街1~30號,6.11,住,,,10304,土地1建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820205,44.61,1,0,1,有,無,有,10600,238,,0.0,0
新莊區,房地(土地+建物)+車位,新北市新莊區立信一街31~60號,7.4,住,,,10304,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990104,138.11,3,2,2,有,有,有,27000,195,坡道平面,15.85,0
汐止區,房地(土地+建物),新北市汐止區龍安路28巷1~30號,0.0,商,,,10305,土地1建物1車位0,三層,26,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860703,37.93,1,0,1,有,有,有,9000,237,,0.0,0
汐止區,房地(土地+建物),新北市汐止區連興街128巷7弄1~30號,0.0,住,,,10305,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831115,108.51,2,2,2,有,有,無,11000,101,,0.0,0
三重區,房地(土地+建物),新北市三重區重新路五段511~540號,4.61,其他,,,10304,土地1建物1車位0,六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990304,52.69,1,1,1,有,有,有,16000,304,,0.0,0
三重區,房地(土地+建物),新北市三重區重新路四段144巷1~30號,91.0,住,,,10304,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680122,79.0,3,2,2,有,無,無,16000,203,,0.0,0
土城區,房地(土地+建物),新北市土城區成功街1~30號,1069.76,工,,,10304,土地1建物2車位0,一層,1,工廠,工商用,鋼筋混凝土造,0740730,657.52,3,1,2,有,無,無,157500,,,0.0,0
新店區,建物,新北市新店區中正路497巷1~30號,0.0,,,,10304,土地0建物1車位0,八層,7,廠辦,工業用,鋼筋混凝土造,0771119,332.69,0,0,1,有,有,無,47250,142,,0.0,0
汐止區,房地(土地+建物),新北市汐止區福德二路1~30號,12.63,住,,,10304,土地1建物1車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,0840316,138.59,0,0,0,無,有,無,25000,180,,0.0,0
蘆洲區,建物,新北市蘆洲區民族路331~360號,0.0,住,,,10305,土地0建物1車位0,一層,13,店面(店鋪),商業用,鋼筋混凝土造,0970428,155.06,0,0,0,無,無,有,50000,322,,0.0,0
汐止區,房地(土地+建物),新北市汐止區新臺五路一段211~240號,0.0,住,,,10305,土地1建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860610,33.76,1,0,1,有,有,有,8200,243,,0.0,0
新店區,土地,安康段661~690地號,14.96,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,20000,1337,,0.0,0
新店區,建物,新北市新店區中正路54巷1~30號,0.0,工,,,10304,土地0建物1車位0,十五層,15,廠辦,工業用,鋼筋混凝土造,0730901,238.74,0,0,0,無,無,無,41000,172,,0.0,0
