鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
潮州鎮,房地(土地+建物),屏東縣潮州鎮萬隆街106巷1~30號,82.93,其他,,,10302,土地1建物1車位0,見其他登記事項,3,其他,住家用,鋼筋混凝土造,0950223,146.24,4,1,3,有,無,有,7000,48,,0.0,0
內埔鄉,房地(土地+建物),屏東縣內埔鄉光明路號,79.27,住,,,10304,土地1建物1車位0,一層,1,店面(店鋪),住商用,鋼筋混凝土造,0730731,15.48,1,1,1,有,無,有,6000,388,,0.0,0
內埔鄉,房地(土地+建物),屏東縣內埔鄉勝利路號,4.52,住,,,10304,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0790314,167.61,4,2,2,有,無,有,9000,54,,0.0,0
